src_ip,dst_ip,flow_duration,flow_packet_size,flow_speed,flow_pkts_speed,flow_pkt_type,packets,label,time
10.42.18.248,10.78.172.91,3,64,10,160,UDP,[],normal,10
10.43.184.45,10.70.52.88,1,347,7,20,UDP,[],normal,10
10.91.252.139,10.6.118.24,1,147,11,76,TCP,[],normal,10
10.42.140.155,10.75.142.242,1,64,4,64,Traceroute,[],normal,10
10.72.250.245,10.58.105.99,1,204,1,5,TCP,[],normal,10
10.45.109.160,10.28.39.21,6,92,5,55,TCP,[],normal,10
10.24.142.116,10.29.197.228,2,140,19,138,UDP,[],normal,10
10.7.104.96,10.52.144.54,2,64,2,32,UDP,[],normal,10
10.55.198.253,10.90.160.175,1,97,25,263,TCP,[],normal,10
10.48.50.217,10.62.109.253,1,196,14,73,UDP,[],normal,10
10.23.171.99,10.27.132.145,1,237,13,56,ICMP,[],normal,10
10.20.179.233,10.65.202.178,4,112,6,54,TCP,[],normal,10
10.24.168.171,10.9.136.178,4,85,6,72,TCP,[],normal,10
10.65.25.232,10.67.81.125,1,64,11,176,UDP,[],normal,10
10.25.137.38,10.73.121.248,1,64,9,144,UDP,[],normal,10
10.96.202.100,10.93.125.113,1,275,4,14,UDP,[],normal,10
10.12.205.224,10.53.239.65,1,99,29,299,UDP,[],normal,10
10.5.1.195,10.72.80.158,1,94,9,98,TCP,[],normal,10
10.28.62.235,10.7.58.144,3,64,5,80,TCP,[],normal,10
10.81.77.102,10.64.66.66,1,64,9,144,TCP,[],normal,10
10.59.38.141,10.11.198.197,1,125,10,81,UDP,[],normal,10
10.97.181.141,10.73.165.231,4,78,13,170,TCP,[],normal,10
10.52.192.75,10.79.110.155,4,64,15,240,TCP,[],normal,10
10.12.23.21,10.76.23.3,2,273,10,37,ICMP,[],normal,10
10.92.32.165,10.87.49.42,1,64,1,16,TCP,[],normal,10
10.64.206.55,10.6.239.12,1,64,6,96,TCP,[],normal,10
10.19.220.249,10.89.221.121,1,64,6,96,TCP,[],normal,10
10.3.14.101,10.85.149.191,1,144,11,78,TCP,[],normal,10
10.83.120.42,10.39.194.117,1,96,7,74,UDP,[],normal,10
10.29.110.61,10.73.74.91,2,64,18,288,UDP,[],normal,10
10.14.61.112,10.82.15.195,1,120,22,187,ICMP,[],normal,10
10.16.5.231,10.33.141.197,3,107,9,86,UDP,[],normal,10
10.78.54.39,10.97.119.152,2,64,17,272,TCP,[],normal,10
10.61.123.245,10.3.151.0,1,141,15,108,TCP,[],normal,10
10.12.10.133,10.54.53.180,1,64,8,128,TCP,[],normal,10
10.82.204.105,10.97.76.222,1,247,4,16,UDP,[],normal,10
10.50.41.86,10.26.103.135,1,112,2,18,ICMP,[],normal,10
10.70.18.140,10.17.124.126,1,86,5,59,ICMP,[],normal,10
10.31.177.79,10.41.151.125,1,103,1,9,TCP,[],normal,10
10.32.237.68,10.8.148.86,2,64,15,240,TCP,[],normal,10
10.65.202.178,10.92.41.111,3,74,7,96,ICMP,[],normal,10
10.14.205.155,10.73.220.15,1,122,14,117,UDP,[],normal,10
10.95.52.197,10.44.185.33,8,100,9,92,UDP,[],normal,10
10.24.19.33,10.90.11.183,1,137,5,37,UDP,[],normal,10
10.52.8.47,10.67.30.195,2,66,5,77,TCP,[],normal,10
10.90.195.125,10.5.109.45,1,128,9,72,UDP,[],normal,10
10.22.29.174,10.39.28.134,1,64,16,256,TCP,[],normal,10
10.3.81.84,10.52.254.84,1,111,20,184,TCP,[],normal,10
10.98.238.73,10.22.74.112,1,64,4,64,TCP,[],normal,10
10.5.244.163,10.93.165.95,2,64,21,336,UDP,[],normal,10
10.25.65.120,10.25.165.198,3,132,18,139,UDP,[],normal,10
10.11.171.74,10.11.153.188,4,240,13,55,UDP,[],normal,10
10.79.105.26,10.32.220.57,1,145,3,21,TCP,[],normal,10
10.18.230.193,10.83.143.195,1,64,3,48,UDP,[],normal,10
10.83.52.245,10.58.15.251,1,74,5,69,UDP,[],normal,10
10.99.51.106,10.72.193.32,2,64,15,240,TCP,[],normal,10
10.54.101.248,10.92.96.211,1,215,4,19,UDP,[],normal,10
10.98.142.251,10.30.76.50,1,64,5,80,UDP,[],normal,10
10.21.232.145,10.66.102.17,2,64,1,16,UDP,[],normal,10
10.34.107.55,10.12.29.212,2,102,8,80,TCP,[],normal,10
10.79.23.94,10.35.179.68,5,68,5,75,TCP,[],normal,10
10.3.76.46,10.65.160.139,3,64,16,256,UDP,[],normal,10
10.0.173.204,10.38.140.89,5,64,6,96,TCP,[],normal,10
10.61.30.118,10.29.216.247,1,98,4,41,TCP,[],normal,10
10.96.48.165,10.66.176.225,1,64,21,336,TCP,[],normal,10
10.62.143.107,10.50.12.80,1,165,11,68,UDP,[],normal,10
10.76.120.142,10.98.2.9,1,112,11,100,UDP,[],normal,10
10.24.180.195,10.22.166.205,1,354,13,37,TCP,[],normal,10
10.79.83.75,10.45.195.21,1,273,3,11,UDP,[],normal,10
10.78.108.95,10.11.57.24,1,64,9,144,TCP,[],normal,10
10.11.32.232,10.47.143.84,2,64,3,48,TCP,[],normal,10
10.85.220.204,10.86.91.171,4,83,6,74,UDP,[],normal,10
10.35.250.191,10.48.63.88,1,257,9,35,ICMP,[],normal,10
10.94.84.115,10.29.30.15,1,74,5,69,TCP,[],normal,10
10.17.54.135,10.54.224.35,1,64,5,80,TCP,[],normal,10
10.96.34.30,10.75.218.30,3,116,16,141,TCP,[],normal,10
10.52.212.159,10.31.198.124,1,64,13,208,TCP,[],normal,10
10.22.63.227,10.26.142.242,1,145,2,14,TCP,[],normal,10
10.39.63.43,10.81.209.117,2,64,3,48,TCP,[],normal,10
10.53.152.109,10.69.225.122,2,83,5,61,UDP,[],normal,10
10.54.234.126,10.49.178.239,4,77,34,452,TCP,[],normal,10
10.11.71.177,10.27.50.254,1,136,25,188,UDP,[],normal,10
10.93.148.184,10.9.214.246,1,89,4,46,Traceroute,[],normal,10
10.68.78.3,10.18.53.5,1,216,4,18,TCP,[],normal,10
10.26.150.138,10.64.28.118,3,142,3,21,TCP,[],normal,10
10.56.9.189,10.23.234.106,2,64,1,16,TCP,[],normal,10
10.48.229.121,10.23.247.147,1,272,5,18,UDP,[],normal,10
10.26.222.243,10.31.209.144,1,64,14,224,UDP,[],normal,10
10.15.177.21,10.45.209.0,1,223,3,13,UDP,[],normal,10
10.55.252.115,10.95.37.78,2,64,8,128,TCP,[],normal,10
10.17.40.206,10.27.231.106,1,103,2,19,UDP,[],normal,10
10.14.93.165,10.33.250.127,1,75,5,68,TCP,[],normal,10
