src_ip,dst_ip,flow_duration,flow_packet_size,flow_speed,flow_pkts_speed,flow_pkt_type,packets,time
10.51.147.186,10.85.12.77,2,316,17,55,ICMP,[],2
10.23.62.131,10.94.34.113,1,198,6,31,ICMP,[],2
10.94.179.110,10.21.241.62,1,136,1,7,UDP,[],2
10.69.214.54,10.5.102.166,1,126,4,32,TCP,[],2
10.74.39.226,10.62.113.83,1,64,18,288,TCP,[],2
10.76.221.253,10.59.208.103,3,310,20,66,UDP,[],2
10.44.191.33,10.5.53.237,1,161,15,95,UDP,[],2
10.36.241.75,10.64.77.241,2,93,1,11,UDP,[],2
10.92.190.25,10.46.63.75,4,284,5,18,TCP,[],2
10.93.108.0,10.89.137.28,1,64,1,16,TCP,[],2
10.0.129.235,10.23.110.163,1,79,1,12,ICMP,[],2
10.17.254.43,10.14.205.231,1,99,1,10,TCP,[],2
10.36.216.92,10.6.152.159,4,73,7,98,TCP,[],2
10.39.135.16,10.55.145.241,3,110,5,46,TCP,[],2
10.23.56.195,10.18.127.199,1,64,30,480,TCP,[],2
10.21.137.217,10.36.112.150,1,194,7,36,TCP,[],2
10.84.7.136,10.51.166.108,4,64,1,16,TCP,[],2
10.50.206.201,10.96.157.24,5,64,7,112,TCP,[],2
10.53.80.14,10.79.161.254,2,64,1,16,UDP,[],2
10.1.50.135,10.57.202.1,1,64,2,32,UDP,[],2
10.12.228.183,10.92.38.226,1,69,28,415,UDP,[],2
10.87.95.91,10.92.121.252,3,79,8,103,UDP,[],2
10.95.157.150,10.70.70.39,1,214,7,33,TCP,[],2
10.67.139.162,10.54.130.192,1,64,8,128,TCP,[],2
10.79.6.183,10.28.124.216,1,135,11,83,UDP,[],2
10.50.14.227,10.79.154.27,1,119,21,180,TCP,[],2
10.91.51.125,10.49.15.82,4,154,30,199,TCP,[],2
10.76.86.90,10.35.34.89,11,256,2,8,TCP,[],2
10.33.95.71,10.90.197.247,1,284,22,79,TCP,[],2
10.61.117.82,10.48.236.11,1,212,7,33,UDP,[],2
10.3.253.104,10.90.64.85,4,147,9,62,TCP,[],2
10.77.28.255,10.70.155.214,1,79,4,51,UDP,[],2
10.91.7.118,10.75.241.235,3,140,4,29,UDP,[],2
10.84.199.154,10.67.130.165,1,123,5,41,TCP,[],2
10.50.140.199,10.54.239.165,1,105,5,48,TCP,[],2
10.0.68.1,10.30.45.30,1,64,1,16,TCP,[],2
10.70.1.66,10.51.9.203,1,164,1,6,TCP,[],2
10.41.157.0,10.98.30.204,3,64,6,96,UDP,[],2
10.39.109.61,10.82.54.176,5,64,17,272,ICMP,[],2
10.89.230.11,10.6.18.8,5,72,20,284,UDP,[],2
10.12.33.197,10.66.109.168,1,64,7,112,TCP,[],2
10.90.187.55,10.21.15.207,1,64,4,64,ICMP,[],2
10.68.151.63,10.33.191.71,3,139,4,29,TCP,[],2
10.22.64.245,10.13.223.13,3,69,2,29,TCP,[],2
10.75.154.134,10.80.48.192,1,64,23,368,TCP,[],2
10.72.35.9,10.13.166.9,1,215,8,38,TCP,[],2
10.11.174.62,10.31.114.149,2,92,4,44,ICMP,[],3
10.63.153.161,10.60.101.22,1,64,9,144,TCP,[],3
10.93.105.87,10.60.1.241,1,138,15,111,UDP,[],3
10.72.135.113,10.39.202.44,3,172,26,154,TCP,[],3
10.33.15.60,10.43.106.41,1,64,11,176,TCP,[],3
10.31.226.239,10.8.180.129,1,64,11,176,TCP,[],3
10.94.133.62,10.84.153.72,1,64,15,240,TCP,[],3
10.58.225.180,10.44.78.223,7,64,1,16,TCP,[],3
10.42.170.216,10.98.85.199,1,64,1,16,UDP,[],3
10.50.219.110,10.78.214.234,1,64,9,144,UDP,[],3
10.11.173.8,10.50.187.235,2,64,6,96,UDP,[],3
10.64.191.86,10.12.199.46,1,163,10,62,ICMP,[],3
10.92.29.212,10.72.254.182,1,168,6,36,TCP,[],3
10.34.163.48,10.92.102.37,1,70,3,43,TCP,[],3
10.33.15.60,10.63.0.16,1,64,2,32,TCP,[],4
10.20.32.79,10.28.213.13,1,101,12,121,TCP,[],4
10.0.233.43,10.48.229.225,1,237,13,56,UDP,[],4
10.81.57.162,10.71.111.121,1,97,7,73,TCP,[],4
10.15.111.191,10.13.118.250,1,80,7,89,TCP,[],4
10.32.18.96,10.39.228.81,1,186,8,44,UDP,[],4
10.17.192.23,10.99.173.53,1,135,2,15,UDP,[],4
10.58.17.24,10.80.176.68,1,64,19,304,ICMP,[],4
10.38.92.43,10.52.30.173,2,103,8,79,TCP,[],4
10.3.249.186,10.44.92.131,1,198,14,72,UDP,[],4
10.59.105.73,10.92.209.179,1,78,1,13,TCP,[],4
10.47.65.50,10.60.120.32,1,64,1,16,TCP,[],4
10.17.163.65,10.43.192.195,1,171,24,143,UDP,[],4
10.27.161.110,10.71.228.55,5,310,24,79,TCP,[],4
10.17.141.93,10.72.127.225,3,64,2,32,UDP,[],4
10.55.99.4,10.34.16.40,1,67,17,259,UDP,[],4
10.10.0.197,10.85.189.50,2,113,6,54,TCP,[],4
10.96.103.49,10.60.120.32,1,64,9,144,TCP,[],4
10.43.10.211,10.43.97.193,5,89,28,322,TCP,[],4
10.54.239.165,10.31.244.3,3,241,4,16,TCP,[],4
10.5.81.54,10.27.0.94,1,186,12,66,UDP,[],4
10.60.69.30,10.28.55.251,1,64,12,192,UDP,[],4
10.2.104.255,10.44.194.192,6,126,6,48,TCP,[],4
10.66.209.80,10.7.88.229,1,295,5,17,TCP,[],4
10.96.53.156,10.19.145.15,1,114,13,116,TCP,[],4
10.72.82.13,10.63.231.84,1,201,14,71,TCP,[],4
10.44.22.87,10.56.14.69,3,64,6,96,TCP,[],4
10.82.182.5,10.78.140.245,1,147,9,62,TCP,[],4
10.55.197.163,10.35.251.255,1,99,9,93,UDP,[],4
10.73.114.246,10.9.203.233,1,69,4,59,ICMP,[],4
10.0.47.14,10.31.80.146,2,121,7,59,TCP,[],4
10.27.228.106,10.35.197.66,2,81,11,139,UDP,[],4
10.52.129.71,10.32.140.101,3,287,10,35,UDP,[],4
10.62.33.154,10.40.161.98,1,150,14,95,TCP,[],4
10.70.189.26,10.84.242.95,1,246,23,95,TCP,[],4
10.87.22.72,10.35.224.86,2,136,13,97,UDP,[],4
10.30.193.44,10.68.173.132,1,161,11,69,TCP,[],4
10.86.65.236,10.12.187.244,1,236,18,78,ICMP,[],4
10.4.242.28,10.83.241.148,4,77,15,199,UDP,[],4
10.82.12.32,10.25.109.45,1,83,5,61,UDP,[],4
10.34.114.192,10.76.220.43,1,160,7,44,UDP,[],4
10.60.8.149,10.98.118.117,1,64,17,272,TCP,[],4
10.68.80.184,10.94.11.101,2,66,20,310,TCP,[],4
10.15.237.0,10.34.60.150,1,111,9,83,ICMP,[],4
10.73.231.6,10.81.194.101,1,122,4,33,TCP,[],5
10.59.162.161,10.87.22.72,17,96,7,74,UDP,[],5
10.81.226.92,10.97.189.170,1,64,1,16,TCP,[],5
10.90.88.92,10.29.86.231,2,71,2,28,ICMP,[],5
10.46.159.90,10.2.33.169,1,265,10,38,TCP,[],5
10.89.215.171,10.51.95.211,1,193,6,31,UDP,[],5
10.19.159.223,10.93.224.215,1,167,11,67,ICMP,[],5
10.4.219.21,10.83.75.63,4,64,17,272,TCP,[],5
10.49.189.47,10.83.81.14,1,71,2,28,TCP,[],5
10.47.35.244,10.59.190.167,1,112,22,201,UDP,[],5
10.42.232.8,10.99.97.29,1,121,6,50,TCP,[],5
10.39.126.73,10.26.41.145,2,80,3,38,TCP,[],5
10.34.245.27,10.9.209.65,2,64,17,272,UDP,[],5
10.94.190.159,10.12.40.117,2,97,7,73,TCP,[],5
10.74.181.199,10.31.135.216,2,64,13,208,TCP,[],5
10.33.59.24,10.34.208.159,1,143,6,42,ICMP,[],5
10.54.234.177,10.62.126.32,1,209,1,4,UDP,[],5
10.7.18.214,10.64.200.107,1,128,2,16,ICMP,[],5
10.95.21.156,10.70.64.117,1,137,5,37,ICMP,[],5
10.37.209.15,10.94.174.133,1,64,13,208,TCP,[],5
10.79.15.87,10.33.133.86,4,86,9,107,TCP,[],5
10.50.68.95,10.89.24.220,4,136,5,37,TCP,[],5
10.51.151.81,10.71.55.77,1,64,9,144,TCP,[],5
10.0.129.235,10.67.60.38,1,84,4,48,TCP,[],5
10.51.196.141,10.39.80.174,1,64,12,192,TCP,[],6
10.42.222.65,10.22.203.95,2,102,3,30,UDP,[],6
10.24.153.68,10.59.170.70,1,153,5,33,TCP,[],6
10.15.59.100,10.88.154.93,1,64,7,112,ICMP,[],6
10.30.133.90,10.34.50.131,6,104,7,68,TCP,[],6
10.5.101.189,10.69.117.225,1,337,4,12,TCP,[],6
10.38.243.114,10.9.102.154,1,80,22,281,UDP,[],6
10.18.240.178,10.39.207.79,1,170,11,66,TCP,[],6
10.61.154.57,10.88.172.88,1,177,3,17,TCP,[],6
10.64.165.138,10.57.21.98,1,64,2,32,TCP,[],6
10.70.213.246,10.91.20.180,1,167,2,12,TCP,[],6
10.33.106.151,10.76.220.43,4,64,16,256,TCP,[],6
10.55.97.231,10.12.180.105,1,64,14,224,TCP,[],6
10.13.56.206,10.73.92.172,1,64,21,336,TCP,[],6
10.26.208.103,10.49.62.96,2,94,9,98,TCP,[],6
10.67.240.177,10.96.79.153,3,64,16,256,TCP,[],6
10.10.179.70,10.0.13.150,2,124,14,115,ICMP,[],6
10.26.133.82,10.83.47.240,1,64,11,176,TCP,[],6
10.3.116.248,10.23.23.213,1,93,10,110,TCP,[],6
10.54.205.129,10.83.205.117,3,95,27,291,TCP,[],6
10.95.174.73,10.15.188.159,1,64,2,32,UDP,[],6
10.89.18.235,10.85.29.168,1,98,8,83,UDP,[],6
10.1.122.9,10.99.95.244,5,84,8,97,UDP,[],6
10.61.205.202,10.54.30.13,5,142,16,115,TCP,[],6
10.27.227.116,10.83.108.243,5,99,9,93,ICMP,[],6
10.2.245.236,10.27.72.223,1,77,7,93,UDP,[],6
10.57.50.47,10.77.139.28,3,118,1,8,TCP,[],6
10.54.171.56,10.66.55.111,1,180,5,28,UDP,[],6
10.80.143.245,10.4.10.107,3,215,15,71,ICMP,[],6
10.42.12.112,10.96.204.137,1,216,4,18,TCP,[],6
10.81.49.107,10.99.0.234,1,64,40,640,TCP,[],6
10.29.213.149,10.53.171.144,1,158,62,401,TCP,[],6
10.94.133.62,10.82.145.87,1,64,37,592,TCP,[],6
10.42.255.93,10.82.54.176,1,64,16,256,ICMP,[],6
10.17.34.131,10.33.49.87,3,119,9,77,TCP,[],6
10.38.45.218,10.33.240.180,8,143,3,21,UDP,[],6
10.97.49.20,10.82.157.193,2,64,2,32,UDP,[],6
10.41.132.94,10.92.179.29,1,64,9,144,UDP,[],6
10.59.85.21,10.69.214.54,1,83,14,172,TCP,[],6
10.21.200.225,10.33.169.253,4,64,9,144,TCP,[],6
10.91.226.245,10.74.122.107,1,138,27,200,UDP,[],6
10.11.57.239,10.27.176.168,1,102,8,80,TCP,[],6
10.80.121.169,10.89.43.123,1,64,10,160,TCP,[],6
10.28.128.169,10.90.124.12,1,64,6,96,TCP,[],7
10.60.8.149,10.62.164.250,1,157,26,169,UDP,[],7
10.77.28.255,10.97.207.140,1,142,4,28,TCP,[],7
10.59.106.247,10.61.38.29,1,66,19,294,TCP,[],7
10.82.191.5,10.24.250.106,1,64,18,288,ICMP,[],7
10.74.149.106,10.35.64.138,4,111,10,92,ICMP,[],7
10.69.214.54,10.23.145.66,5,64,11,176,UDP,[],7
10.85.221.104,10.30.197.96,4,64,10,160,TCP,[],7
10.94.125.83,10.41.178.38,6,64,7,112,UDP,[],7
10.85.162.40,10.63.197.127,7,64,8,128,UDP,[],7
10.66.138.37,10.71.245.10,3,98,1,10,TCP,[],7
10.40.207.183,10.71.216.90,1,84,4,48,UDP,[],7
10.42.120.144,10.70.87.29,1,106,7,67,TCP,[],7
10.41.193.15,10.70.86.60,1,167,9,55,TCP,[],7
10.44.232.41,10.96.202.206,1,159,7,45,ICMP,[],7
10.98.19.104,10.1.115.122,1,64,34,544,TCP,[],7
10.18.66.86,10.67.163.14,1,78,25,328,TCP,[],7
10.55.82.83,10.12.136.10,3,103,19,188,TCP,[],7
10.62.199.157,10.78.63.101,1,246,2,8,TCP,[],7
10.3.127.14,10.32.211.69,4,75,26,354,UDP,[],7
10.30.82.146,10.68.8.149,3,157,4,26,UDP,[],7
10.54.233.156,10.73.221.78,1,207,5,24,UDP,[],7
10.41.153.72,10.51.115.230,1,87,14,164,UDP,[],7
10.89.18.43,10.82.75.30,1,124,4,33,UDP,[],7
10.83.11.54,10.68.249.214,1,64,27,432,ICMP,[],7
10.31.221.146,10.0.129.147,2,116,11,97,TCP,[],7
10.4.185.125,10.73.111.217,4,64,38,608,TCP,[],7
10.16.10.204,10.85.78.204,5,64,2,32,TCP,[],7
10.59.133.161,10.47.119.217,3,155,7,46,TCP,[],7
10.47.195.9,10.8.67.156,1,204,29,145,UDP,[],8
10.38.199.186,10.71.216.174,4,230,15,66,UDP,[],8
10.43.44.169,10.49.145.170,1,121,14,118,TCP,[],8
10.78.75.191,10.28.217.127,1,78,4,52,TCP,[],8
10.56.26.137,10.81.93.247,1,196,14,73,UDP,[],8
10.91.209.45,10.69.63.86,1,64,16,256,TCP,[],8
10.72.206.31,10.92.121.252,1,64,3,48,UDP,[],8
10.73.47.202,10.4.99.18,2,64,7,112,TCP,[],8
10.15.0.77,10.1.65.213,1,142,7,50,UDP,[],8
10.43.164.34,10.99.31.75,3,444,10,23,TCP,[],8
10.51.0.14,10.77.186.18,5,64,13,208,TCP,[],8
10.5.173.66,10.97.11.90,1,64,6,96,UDP,[],8
10.8.242.243,10.53.51.238,1,185,11,60,ICMP,[],8
10.29.164.130,10.11.99.185,7,64,8,128,TCP,[],8
10.94.85.93,10.58.64.7,4,107,8,76,UDP,[],8
10.51.154.249,10.98.78.105,1,64,8,128,TCP,[],8
10.94.134.26,10.75.50.10,4,64,10,160,TCP,[],8
10.69.119.55,10.26.12.181,1,64,12,192,TCP,[],8
10.31.177.238,10.72.248.251,1,70,5,73,TCP,[],8
10.38.56.168,10.18.43.184,1,64,7,112,TCP,[],8
10.74.151.239,10.27.9.225,1,215,1,4,TCP,[],8
10.33.22.28,10.74.35.64,1,122,5,41,UDP,[],8
10.17.200.193,10.49.245.97,5,183,1,5,UDP,[],8
10.9.206.134,10.24.124.165,1,64,11,176,UDP,[],8
10.4.126.10,10.43.234.219,1,83,7,86,TCP,[],8
10.43.242.78,10.63.1.108,2,89,10,115,TCP,[],8
10.73.111.217,10.44.48.209,1,136,6,45,TCP,[],8
10.92.208.75,10.58.16.45,3,64,10,160,TCP,[],8
10.42.17.155,10.68.248.247,4,64,14,224,TCP,[],8
10.29.160.253,10.99.214.215,5,255,9,36,ICMP,[],8
10.5.206.103,10.19.66.3,4,252,29,117,ICMP,[],8
10.51.91.114,10.56.128.116,1,241,23,97,UDP,[],8
10.79.148.178,10.77.210.188,2,165,8,49,ICMP,[],8
10.5.102.166,10.79.217.228,1,64,7,112,TCP,[],8
10.76.69.162,10.56.46.81,2,112,6,54,TCP,[],8
10.32.16.109,10.74.186.194,1,219,8,37,TCP,[],8
10.71.63.138,10.11.250.86,1,268,6,22,UDP,[],8
10.95.193.87,10.15.111.191,1,64,7,112,TCP,[],8
10.61.217.73,10.3.62.60,1,64,2,32,TCP,[],8
10.18.186.63,10.70.47.16,1,64,3,48,UDP,[],8
10.34.87.128,10.55.118.124,1,143,10,71,UDP,[],9
10.54.226.12,10.16.49.242,1,64,3,48,TCP,[],9
10.67.110.50,10.86.55.22,1,92,5,55,ICMP,[],9
10.62.58.60,10.65.212.136,1,106,3,28,UDP,[],9
10.77.35.238,10.94.206.245,2,257,10,39,TCP,[],9
10.86.110.68,10.40.165.109,2,65,10,157,TCP,[],9
10.77.197.220,10.7.195.49,2,64,9,144,TCP,[],9
10.92.37.5,10.79.60.37,1,78,13,170,UDP,[],9
10.6.119.215,10.27.46.226,1,64,8,128,ICMP,[],9
10.10.15.136,10.39.126.73,1,64,14,224,UDP,[],9
10.1.50.135,10.92.209.179,3,415,3,7,TCP,[],9
10.3.235.32,10.0.118.51,1,64,4,64,UDP,[],9
10.24.242.24,10.89.208.69,1,64,8,128,UDP,[],9
10.94.91.58,10.38.186.10,3,67,2,30,UDP,[],9
10.63.115.179,10.48.239.202,1,98,6,62,TCP,[],9
10.35.207.202,10.37.152.186,2,145,7,49,ICMP,[],9
10.60.240.18,10.22.192.228,2,176,3,17,TCP,[],9
10.44.223.9,10.72.143.254,2,199,20,102,TCP,[],9
10.22.152.6,10.43.205.219,1,218,3,14,TCP,[],9
10.89.113.127,10.88.38.162,1,96,5,53,UDP,[],9
10.95.84.252,10.63.153.161,1,143,7,50,TCP,[],9
10.37.101.80,10.12.180.102,1,64,23,368,TCP,[],9
10.79.179.160,10.45.200.127,3,76,7,94,TCP,[],10
10.61.204.43,10.69.194.34,3,121,6,50,TCP,[],10
10.71.185.215,10.44.218.151,1,64,1,16,TCP,[],10
10.44.202.88,10.20.164.66,1,197,6,31,TCP,[],10
10.35.210.41,10.46.17.158,1,109,1,9,TCP,[],10
10.71.229.152,10.75.58.162,1,216,1,4,UDP,[],10
10.53.31.117,10.51.56.106,1,64,1,16,UDP,[],10
10.67.255.95,10.65.88.179,4,64,12,192,UDP,[],10
10.54.201.183,10.41.193.15,3,84,29,353,UDP,[],10
10.28.227.111,10.26.227.160,4,64,3,48,UDP,[],10
10.44.252.242,10.82.6.31,1,259,4,15,TCP,[],10
10.70.128.32,10.2.181.243,1,201,5,25,ICMP,[],10
10.3.157.146,10.4.121.88,1,79,15,194,ICMP,[],10
10.2.141.221,10.20.31.203,1,64,2,32,ICMP,[],10
10.33.59.24,10.0.19.148,2,64,3,48,UDP,[],10
10.63.206.171,10.98.222.135,1,251,10,40,UDP,[],10
10.32.209.150,10.20.245.241,1,64,8,128,TCP,[],10
10.50.8.142,10.35.176.134,1,64,14,224,TCP,[],10
10.37.127.219,10.53.70.238,3,64,2,32,TCP,[],10
10.10.91.92,10.79.217.228,4,123,15,124,TCP,[],10
10.60.112.151,10.25.184.174,1,90,2,22,TCP,[],10
10.48.84.213,10.81.151.129,1,212,9,43,TCP,[],10
10.62.118.191,10.14.92.209,1,126,11,89,UDP,[],10
10.33.65.177,10.62.173.199,1,208,1,4,TCP,[],10
10.33.214.119,10.86.67.20,1,64,6,96,UDP,[],10
10.23.182.125,10.97.134.220,1,64,8,128,TCP,[],10
10.7.147.73,10.43.118.60,1,167,17,104,UDP,[],10
10.74.160.181,10.38.86.242,1,76,1,13,TCP,[],10
10.57.2.152,10.28.227.111,1,77,11,146,TCP,[],10
10.52.104.185,10.96.143.76,1,64,4,64,UDP,[],10
10.46.128.7,10.19.210.40,2,67,4,61,TCP,[],10
10.9.121.139,10.77.153.83,1,144,9,64,TCP,[],10
10.10.28.211,10.49.21.160,4,108,10,94,UDP,[],10
10.3.82.34,10.37.145.154,1,123,22,183,TCP,[],10
10.63.213.27,10.8.70.212,1,67,3,45,UDP,[],10
10.12.181.202,10.79.148.178,1,173,6,35,UDP,[],10
10.38.41.211,10.53.251.90,1,131,8,62,UDP,[],10
10.94.153.228,10.0.39.46,1,73,7,98,UDP,[],11
10.58.56.4,10.90.68.210,5,64,4,64,TCP,[],11
10.50.253.230,10.21.238.135,1,84,10,121,TCP,[],11
10.55.148.111,10.6.125.141,1,64,4,64,TCP,[],11
10.64.125.107,10.12.247.155,1,142,3,21,TCP,[],11
10.38.45.218,10.95.179.31,1,296,7,24,UDP,[],11
10.34.163.48,10.64.223.156,1,202,10,50,TCP,[],11
10.76.179.22,10.41.157.0,1,64,17,272,TCP,[],11
10.67.95.77,10.95.66.153,1,202,13,65,TCP,[],11
10.77.20.248,10.50.78.164,1,148,1,6,ICMP,[],11
10.1.153.156,10.72.196.230,1,232,3,13,UDP,[],11
10.87.82.4,10.84.99.121,1,204,5,25,UDP,[],11
10.93.79.80,10.4.168.209,1,71,4,57,ICMP,[],11
10.65.233.153,10.99.63.171,3,64,8,128,UDP,[],11
10.64.231.204,10.9.7.38,1,118,15,130,TCP,[],11
